Representation,Selection,Crossover,Mutation,Combination,AvgFitness,AvgScaled
real_valued,tournament,flat,polynomial,real_valued_tournament_flat_polynomial,1865.9527654901854,0.3729999441705136
real_valued,rank,flat,polynomial,real_valued_rank_flat_polynomial,2006.4937425331625,0.43029541033965735
real_valued,tournament,flat,gaussian,real_valued_tournament_flat_gaussian,2115.536037803277,0.47623478216536885
real_valued,stochastic_universal,flat,polynomial,real_valued_stochastic_universal_flat_polynomial,2162.6495135794744,0.49436161235376813
real_valued,roulette_wheel,flat,polynomial,real_valued_roulette_wheel_flat_polynomial,2186.3003014805536,0.5050522644078981
real_valued,rank,flat,gaussian,real_valued_rank_flat_gaussian,2233.531181536876,0.5233983902448551
real_valued,tournament,sbx,polynomial,real_valued_tournament_sbx_polynomial,2256.536038849439,0.528745062918799
real_valued,rank,sbx,polynomial,real_valued_rank_sbx_polynomial,2361.9372625693095,0.5722830552878689
real_valued,roulette_wheel,flat,gaussian,real_valued_roulette_wheel_flat_gaussian,2366.581076979296,0.5790086344043076
real_valued,stochastic_universal,flat,gaussian,real_valued_stochastic_universal_flat_gaussian,2383.823794183919,0.5868432354713403
real_valued,tournament,sbx,gaussian,real_valued_tournament_sbx_gaussian,2392.749133055437,0.5921460534620565
real_valued,stochastic_universal,sbx,polynomial,real_valued_stochastic_universal_sbx_polynomial,2435.504514461118,0.6056115399753236
real_valued,roulette_wheel,sbx,polynomial,real_valued_roulette_wheel_sbx_polynomial,2452.2153463011896,0.6124167161680962
real_valued,elitism,sbx,gaussian,real_valued_elitism_sbx_gaussian,2478.7077905998517,0.6407716197556567
real_valued,elitism,sbx,polynomial,real_valued_elitism_sbx_polynomial,2491.361643058023,0.6453926766447007
real_valued,rank,sbx,gaussian,real_valued_rank_sbx_gaussian,2524.17448667189,0.6493032983277897
real_valued,tournament,blx_alpha,polynomial,real_valued_tournament_blx_alpha_polynomial,2594.3344836065658,0.6737164101570627
real_valued,stochastic_universal,sbx,gaussian,real_valued_stochastic_universal_sbx_gaussian,2581.8966253084595,0.6743221573055385
real_valued,roulette_wheel,sbx,gaussian,real_valued_roulette_wheel_sbx_gaussian,2602.252369232402,0.6839008448770555
real_valued,elitism,flat,polynomial,real_valued_elitism_flat_polynomial,2817.241450471342,0.7651548264593722
