Representation,Mutation,C1,C2,R1,R2,RC1,RC2,Category
binary,bit_flip,0.9846979994298987,0.9817684386270348,0.9813747548015046,0.9819171811564656,0.9836387597571716,0.9828544499876243,Mutation
binary,interchanging,0.4396279894289418,0.3992506882921408,0.40363647585396123,0.3804021268381024,0.42081882800037645,0.39446650824536517,Mutation
binary,uniform,0.9741998063830598,0.9728889079502422,0.9727728887615789,0.9743527611467064,0.9740132496670159,0.9738862789387691,Mutation
permutation,displacement,0.572960228985089,0.5334072523219751,0.5688325695805952,0.5284864477089823,0.5785207196980577,0.5341827824219647,Mutation
permutation,insert,0.42070219436855444,0.3774459719406035,0.3899464600547099,0.3601408229960547,0.4077091106390413,0.3750780301513104,Mutation
permutation,inversion,0.5065042603997426,0.46827050969855055,0.4915377674961125,0.4604659619459438,0.4995021947336752,0.46639868589760675,Mutation
permutation,scramble,0.5636707571883599,0.5506074324441071,0.5486804909373787,0.5379089331599509,0.5579675476490201,0.5469892035685778,Mutation
permutation,swap,0.39128307162539366,0.3672050381002396,0.3646786688345253,0.3508217954290376,0.38140672194445957,0.36733499915446827,Mutation
real_valued,gaussian,0.6840231093050186,0.6954600999011938,0.7511932504023718,0.74906313145735,0.7458361853563724,0.7422887572707934,Mutation
real_valued,polynomial,0.6424727937019327,0.652726931014881,0.663897233626875,0.6568294273898427,0.6965094684065104,0.6847107774682086,Mutation
real_valued,uniform,0.9614474996485397,0.9605687658344324,0.9578407322572416,0.9570019599188422,0.9591828571025077,0.9581952238266555,Mutation
