Combination,C1,C2,R1,R2,RC1,RC2,Global_Rank
permutation_rank_scx_inversion,2.111111111111111,1.375,2.25,2.727272727272727,3.75,1.625,2.3063973063973062
permutation_roulette_wheel_scx_inversion,1.8888888888888888,3.625,2.4166666666666665,5.363636363636363,1.875,2.25,2.9031986531986527
permutation_tournament_scx_inversion,4.555555555555555,3.0,2.3333333333333335,2.090909090909091,3.25,3.75,3.163299663299663
permutation_stochastic_universal_scx_inversion,2.2222222222222223,5.25,3.0833333333333335,8.181818181818182,3.25,3.625,4.268728956228956
permutation_roulette_wheel_scx_scramble,5.555555555555555,4.75,5.916666666666667,11.272727272727273,4.0,4.375,5.978324915824916
permutation_stochastic_universal_scx_scramble,5.444444444444445,5.625,9.166666666666666,13.0,4.875,5.625,7.289351851851852
permutation_roulette_wheel_scx_swap,7.666666666666667,15.375,8.833333333333334,15.545454545454545,8.625,10.75,11.132575757575758
permutation_rank_scx_scramble,9.222222222222221,15.375,10.083333333333334,17.818181818181817,10.625,13.125,12.708122895622894
permutation_roulette_wheel_scx_displacement,9.0,16.25,9.75,16.454545454545453,10.625,14.75,12.804924242424242
permutation_stochastic_universal_scx_swap,10.666666666666666,17.375,11.416666666666666,18.09090909090909,9.625,16.125,13.883207070707071
permutation_rank_scx_swap,14.777777777777779,16.5,11.0,20.636363636363637,10.625,19.0,15.423190235690235
permutation_stochastic_universal_scx_displacement,11.444444444444445,17.125,11.666666666666666,20.818181818181817,13.375,19.125,15.592382154882154
permutation_roulette_wheel_scx_insert,9.666666666666666,17.625,13.083333333333334,21.181818181818183,12.875,20.375,15.801136363636365
permutation_tournament_scx_swap,13.88888888888889,20.0,11.5,19.818181818181817,13.5,18.625,16.222011784511782
permutation_elitism_scx_inversion,21.22222222222222,11.0,21.666666666666668,10.454545454545455,21.375,13.75,16.57807239057239
permutation_tournament_scx_insert,16.0,23.25,13.583333333333334,18.454545454545453,13.625,19.25,17.360479797979796
permutation_rank_scx_insert,16.666666666666668,18.375,14.0,20.545454545454547,15.75,21.25,17.764520202020204
permutation_elitism_ox_inversion,26.0,12.625,24.333333333333332,9.909090909090908,24.75,12.625,18.373737373737374
permutation_stochastic_universal_scx_insert,14.0,22.125,15.583333333333334,24.90909090909091,16.125,21.25,18.998737373737374
permutation_boltzmann_pos_inversion,26.666666666666668,11.875,26.833333333333332,11.818181818181818,25.25,14.125,19.4280303030303
