Representation,Selection,C1,C2,R1,R2,RC1,RC2,Global_Avg
permutation,elitism,1794.2123661132277,1452.5124208103161,1581.8470120492575,1292.3321156027907,2039.3010116688329,1613.6784801725464,1628.980567736162
permutation,boltzmann,1832.682773097264,1479.4862766809788,1607.2881991170013,1303.0403396694246,2064.21766497354,1638.070736815737,1654.130998392324
permutation,tournament,2015.6511688726678,1856.177651045292,1794.6556837864016,1626.8993639962157,2303.1880429198186,2049.8176548545234,1941.0649275791532
permutation,rank,2400.2085851209886,2279.6845816386567,2136.5441673681707,1981.1219943175781,2782.9566634363246,2525.2573438701957,2350.962222625319
permutation,roulette_wheel,2629.891455461925,2541.6313985020365,2308.479105355701,2181.141657037024,3009.113234120316,2806.1641471679804,2579.403499607497
permutation,stochastic_universal,2639.338066541593,2544.9428693924056,2317.816713429223,2187.165091507883,3028.718806773799,2816.4128385863287,2589.065731038539
real_valued,tournament,2724.3689066443376,2674.7960711072906,2418.3233236238925,2289.993011684565,3235.895507406398,3042.6479765714066,2731.0041328396487
real_valued,rank,2864.868263847846,2806.696135815198,2519.2284327320453,2397.679727275703,3382.5949494196884,3181.0816777179193,2858.6915311347334
binary,rank,2957.5711665789286,2862.155615259171,2551.0547614755314,2430.78684807921,3353.428345075052,3168.071012363273,2887.1779581385276
binary,tournament,2981.705001934629,2877.548959670887,2567.661639427165,2438.7150814748584,3374.264468578168,3177.6630088529287,2902.9263599897727
binary,boltzmann,3010.269166097497,2882.6919297785216,2578.997182839692,2442.5332707643447,3402.593728385848,3187.1463801382893,2917.3719430006986
binary,elitism,3014.9274196986185,2891.927073409764,2585.4421690631366,2447.4171332528163,3403.331317785864,3194.6698804110583,2922.9524989368765
binary,stochastic_universal,3001.3627361028302,2901.9223052486077,2586.495098970108,2467.0896686473156,3404.533682604566,3220.4650385213176,2930.3114216824574
binary,roulette_wheel,3002.856522256102,2910.2449427649867,2587.3887148505087,2471.384565166082,3412.4622374476426,3223.892378654136,2934.704893523243
real_valued,stochastic_universal,2941.987657783163,2889.4943212549965,2601.3894485239903,2479.211940804597,3447.5959279649396,3277.1292479351887,2939.4680907111456
real_valued,roulette_wheel,2946.123422013625,2891.7920700419254,2601.9645034391115,2492.0864427739075,3450.054876352277,3273.322192675407,2942.557251216042
real_valued,boltzmann,2970.3661938642554,2906.2704233711397,2670.109150631831,2556.1055281585527,3472.464169795827,3301.677254503945,2979.498786720925
real_valued,elitism,2964.53433448643,2919.6101405635604,2705.7960651275653,2592.1625530794868,3489.881803951839,3295.908143226063,2994.6488400724907
